FIPS,county_clean,State,married.slope_2022,unmarried.slope_2022,household_volatility,E_POV150,E_UNINSUR,E_CROWD,E_NOVEH,E_MINRTY,E_AGE65,healthcare_vulnerability,disease_risk_score,covid_cases,covid_cases_per_100k
45001,"abbeville, south carolina",SC,-164.9,94.5922456319386,259.4922456319386,6888,2825,216,806,7780,5318,3041,1928.3968982527754,6655,27072.6547880563
22001,"acadia, louisiana",LA,-1780.13390442729,-275.461166774403,2055.595071201693,21110,5435,564,1684,14195,9617,5999,4421.638028480677,18241,29245.9636690128
51001,"accomack, virginia",VA,-150.004222996533,-45.0428571428572,195.0470801393902,10406,4488,296,1239,13055,7655,4784,2948.418832055756,9295,28547.2972972973
16001,"ada, idaho",ID,5591.46071428571,2268.66428571429,7860.125,69468,35883,2733,6608,74243,67892,38616,26313.649999999998,161975,34501.4516276761
19001,"adair, iowa",IA,-75.8535714285714,142.008268218488,217.8618396470594,1388,315,16,93,331,1577,331,285.7447358588238,1794,25454.0295119183
21001,"adair, kentucky",KY,-56.8464285714286,94.5922456319386,151.4386742033672,5802,972,116,365,1455,3618,1088,713.3754696813469,7803,40292.2647939688
29001,"adair, missouri",MO,206.378943115735,-315.914690949023,522.293634064758,7796,2147,55,661,2772,3751,2202,1530.1174536259032,6770,26582.3778859746
40001,"adair, oklahoma",OK,-232.610714285714,47.4678571428571,280.0785714285711,8701,5717,336,662,13479,3477,6053,3743.831428571428,9983,45027.2878986063
08001,"adams, colorado",CO,4129.75714285714,1673.93571428571,5803.69285714285,90177,51909,8117,7175,259504,53302,60026,38337.07714285714,168289,33007.939683511
16003,"adams, idaho",ID,158.897527472531,23.1607142857143,182.05824175824532,931,459,33,25,348,1266,492,368.0232967032981,828,19714.2857142857
17001,"adams, illinois",IL,-734.635084033624,252.4731092437,987.1081932773241,13408,3082,452,1992,5682,13282,3534,2515.24327731093,26914,40983.7064108421
18001,"adams, indiana",IN,557.449315577745,-24.3539431157078,581.8032586934528,10299,6831,474,1444,2383,5451,7305,4615.721303477381,7602,21387.5759621877
19003,"adams, iowa",IA,-45.7071428571429,-10.0831625452265,55.7903054023694,688,236,12,66,137,836,248,171.11612216094775,931,25626.204238921
28001,"adams, mississippi",MS,-161.407142857143,94.5922456319386,255.99938848908158,12588,4105,87,1211,19827,5811,4192,2617.5997553956327,8703,27981.2236761727
